query03.err,
query03.res,10407046
query05.err,
query05.res,3
query07.err,
query07.res,1262594
query08.err,
query08.res,1203230
query12.err,
query12.res,213320
query13.err,
query13.res,2113858
query15.err,
query15.res,823012
query17.err,
query17.res,53098445
query18.err,
query18.res,674
query19.err,
query19.res,3752816
query20.err,
query20.res,476105
query21.err,
query21.res,503855
query25.err,
query25.res,51047345
query26.err,
query26.res,474183
query27.err,
query27.res,223
query28.err,
query28.res,3771971
query29.err,
query29.res,44325225
query32.err,
query32.res,1072810
query33.err,
query33.res,1331984
query34.err,
query34.res,640288
query36.err,
query36.res,177
query37.err,
query37.res,84666
query40.err,
query40.res,689661
query41.err,
query41.res,307371
query42.err,
query42.res,629425
query43.err,
query43.res,617392
query44.err,
query44.res,2490990
query45.err,
query45.res,100528
query46.err,
query46.res,648777
query48.err,
query48.res,829503
query49.err,
query49.res,5825894
query50.err,
query50.res,9486215
query51.err,
query51.res,1058717
query52.err,
query52.res,602743
query53.err,
query53.res,17521795
